gh_username,kurs,direktion,fachstelle_amt,projekt_titel,projekt_website_url,projekt_github_url
Dino-Wirz,k010,Baudirektion,"ALN, Fachstelle Bodenschutz",Kantonale Bodenüberwachung,https://rstatszh-k010.github.io/projekt-Dino-Wirz/,https://github.com/rstatszh-k010/projekt-Dino-Wirz
stefan-tobler,k010,Direktion der Justiz und des Innern,JuWe,NA,NA,NA
iwurmitzer,k010,Direktion der Justiz und des Innern,Statistisches Amt,Befragung Ausbildung FaGe (Fachfrau-/mann Gesundheit),NA,NA
nihwaller,k010,Gesundheitsdirektion,Amt für Gesundheit,Personaldaten der Krankenhausstatistik,NA,NA
areggerroman,k010,"Bildungs- und Kulturdirektion, Kanton Luzern",Dienststelle Volksschulbildung,Studierende an den Fachhochschulen und pädagogischen Hochschulen,https://rstatszh-k010.github.io/projekt-areggerroman/,https://github.com/rstatszh-k010/projekt-areggerroman
sutbar,k010,"Bildungs- und Kulturdepartement, Kanton Luzern",Dienststelle Volksschulbildung (LU),Wahlresultate von den Nationalratswahlen von 1991 bis 2023,https://rstatszh-k010.github.io/projekt-sutbar/,https://github.com/rstatszh-k010/projekt-sutbar
Robwer4,k010,Baudirektion,"ALN, Fachstelle Bodenschutz",Kantonale Bodenüberwachung,https://rstatszh-k010.github.io/project_Robwer4/,https://github.com/rstatszh-k010/project_Robwer4
AliceGiese,k010,Gesundheitsdirektion,Amt für Gesundheit,NA,NA,NA
marco-mba,k010,Bildungsdirektion,Mittelschul- und Berufsbildungsamt,Lehrvertragsauflösungen im Kanton Zürich,https://rstatszh-k010.github.io/projekt-marco-mba/,https://github.com/rstatszh-k010/projekt-marco-mba
leonkreis26,k010,Direktion der Justiz und des Innern,Staatsarchiv ZH,Swiss Library Service Platform (SLSP) Bestandsliste,https://rstatszh-k010.github.io/projekt-leonkreis26/,https://github.com/rstatszh-k010/projekt-leonkreis26
JennySojka,k011,Baudirektion,Archäologie & Denkmalpflege,Abschlussprojekt zu Eheschliessungen vom 16. bis 18. Jahrhundert,https://rstatszh-k011.github.io/projekt-JennySojka/,https://github.com/rstatszh-k011/projekt-JennySojka
wadoli,k011,Baudirektion,ARE / Archäologie & Denkmalpflege,Datenqualität überkommunales Inventar - Lässt sich die Objektliste mit den GWR-Daten verbessern?,https://rstatszh-k011.github.io/projekt-wadoli/,https://github.com/rstatszh-k011/projekt-wadoli
stefaniemarty,k011,Direktion der Justiz und des Innern,"Gemeindeamt, Abteilung Gemeindefinanzen",NA,NA,https://github.com/rstatszh-k011/projekt-stefaniemarty
StollerSa,k011,Baudirektion,Amt für Landschaft und Natur,NA,NA,https://github.com/rstatszh-k011/projekt-StollerSa
nbalzano,k011,Bildungsdirektion,MBA/DCS,Mittelschulen und Berufsmaturität im Kanton Zürich 2024,https://rstatszh-k011.github.io/projekt-nbalzano/,https://github.com/rstatszh-k011/projekt-nbalzano
hildy-mueller,k011,Baudirektion,ARE - Amt für Raumplanung,Der Baumbestand von Winterthur,https://rstatszh-k011.github.io/projekt-Hildy-Mueller/,https://github.com/rstatszh-k011/projekt-hildy-mueller
vivianehoehn,k011,Psychiatrische Uniklinik,Qualitätsbeauftragte,NA,NA,https://github.com/rstatszh-k011/projekt-vivianehoehn
coded-by-mike,k011,Volkswirtschaftsdirektion,Amt für Arbeit,NA,NA,https://github.com/rstatszh-k011/projekt-coded-by-mike
IsasGroot,k011,Baudirektion,Archäologie und Denkmalpflege,NA,NA,https://github.com/rstatszh-k011/projekt-IsasGroot
